family_id,label,canonical,variant,review_status,rationale
catherine,Catherine family,Catherine,Catherine,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
catherine,Catherine family,Catherine,Katherine,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
catherine,Catherine family,Catherine,Katharine,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
catherine,Catherine family,Catherine,Kathryn,approved,"Catherine, Katherine, Katharine, Kathryn, and qualifying Cathryn forms are established orthographic variants; this reviewed grouping combines separately ranked spellings without treating their bearers as interchangeable."
elizabeth,Elizabeth family,Elizabeth,Elizabeth,approved,Elizabeth and Elisabeth are established English and continental spelling forms of the same name; they remain separate records and are grouped only for demographic comparison.
elizabeth,Elizabeth family,Elizabeth,Elisabeth,approved,Elizabeth and Elisabeth are established English and continental spelling forms of the same name; they remain separate records and are grouped only for demographic comparison.
marian,Marian family,Marian,Marian,approved,Marian and Marion were overlapping feminine spelling forms in this period; this hand-reviewed grouping is descriptive and does not claim every bearer understood the names identically.
marian,Marian family,Marian,Marion,approved,Marian and Marion were overlapping feminine spelling forms in this period; this hand-reviewed grouping is descriptive and does not claim every bearer understood the names identically.
eleanor,Eleanor family,Eleanor,Eleanor,approved,Eleanor and Elinor are established spelling forms that conventional rankings separate; the family view combines only their qualifying female records.
eleanor,Eleanor family,Eleanor,Elinor,approved,Eleanor and Elinor are established spelling forms that conventional rankings separate; the family view combines only their qualifying female records.
sarah,Sarah family,Sarah,Sarah,approved,Sarah and Sara differ by the established final-h spelling convention; the reviewed family shows their combined footprint while preserving both separate SSA entries.
sarah,Sarah family,Sarah,Sara,approved,Sarah and Sara differ by the established final-h spelling convention; the reviewed family shows their combined footprint while preserving both separate SSA entries.
